"차종별(1)",차종별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
"차종별(1)",차종별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"차종별(1)",차종별(2),소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타,소계,휘발유,경유,LPG,전기,CNG,하이브리드,수소,기타
"계",소계,3056588,1602528,1066199,338455,1151,9992,33927,1,4335,3083007,1596819,1107727,317469,1498,9854,44875,12,4753,3116256,1600270,1135239,301546,4797,9731,59431,13,5229,3124651,1592471,1147787,284328,9564,9635,75178,84,5604,3124157,1607915,1121920,271977,14952,9441,91505,599,5848,3157361,1634867,1108287,258444,23393,9114,115280,1671,6305,3176743,1646141,1084741,245041,40564,8887,141889,2445,7035,3193351,1654165,1057305,234200,59327,8276,169759,2914,7405,3191162,1658706,1008457,222468,72937,7799,210003,3180,7612,3176933,1642787,949200,220151,83868,7137,263004,3261,7525
"계",승용차,2560154,1599561,652373,271852,1139,780,33896,1,552,2598344,1593968,697496,259417,1484,678,44823,12,466,2641190,1597418,728314,250286,4775,617,59379,13,388,2658637,1589567,744280,239192,9507,597,75126,83,285,2670803,1604962,727757,231089,14232,510,91453,597,203,2711984,1631306,722122,220302,20763,435,115228,1662,166,2740044,1642186,708501,209333,35227,384,141832,2436,145,2763730,1649883,689717,200323,50768,314,169702,2884,139,2776116,1654223,657067,190100,61304,237,209947,3110,128,2774805,1638268,619097,180620,71005,184,262346,3165,120
"계",승합차,141927,1297,103043,28160,10,8737,31,-,649,134309,1199,100355,23198,10,8712,52,-,783,127564,1099,97003,19810,2,8664,52,-,934,120780,1059,93190,16699,33,8621,52,1,1125,114310,1002,88472,14864,127,8529,52,2,1262,106504,1087,81554,13838,382,8262,52,9,1320,100403,1135,76372,12872,524,8134,52,9,1305,96085,1235,72352,12405,1119,7637,48,30,1259,91067,1293,67720,11972,1501,7261,44,65,1211,85529,1233,62546,11396,2199,6652,234,91,1178
"계",화물차,347765,1649,304235,38351,2,472,-,-,3056,343173,1633,302902,34766,4,461,-,-,3407,339921,1735,302573,31366,19,447,-,-,3781,337241,1827,302557,28357,23,414,-,-,4063,330840,1933,297709,25942,592,400,-,-,4264,329943,2456,296124,24201,2228,416,-,-,4518,326425,2798,290800,22718,4787,368,5,-,4949,322706,3023,285435,21324,7409,325,9,-,5181,312590,3161,273447,20238,10087,301,12,5,5339,305000,3249,257311,27887,10592,301,405,5,5250
"계",특수차,6742,21,6548,92,-,3,-,-,78,7181,19,6974,88,-,3,-,-,97,7581,18,7349,84,1,3,-,-,126,7993,18,7760,80,1,3,-,-,131,8204,18,7982,82,1,2,-,-,119,8930,18,8487,103,20,1,-,-,301,9871,22,9068,118,26,1,-,-,636,10830,24,9801,148,31,-,-,-,826,11389,29,10223,158,45,-,-,-,934,11599,37,10246,248,72,-,19,-,977
